pair,θ_1,θ_2,N,N_agree,p0_observed,pe_expected,cohen_kappa
θ=4 vs θ=5,4,5,1970,1960,0.9949,0.2167,0.9935
θ=4 vs θ=6,4,6,1970,1950,0.9898,0.2169,0.987
θ=4 vs θ=7,4,7,1970,1949,0.9893,0.2168,0.9864
θ=4 vs θ=8,4,8,1970,1897,0.9629,0.2147,0.9528
θ=5 vs θ=6,5,6,1970,1960,0.9949,0.2163,0.9935
θ=5 vs θ=7,5,7,1970,1959,0.9944,0.2162,0.9929
θ=5 vs θ=8,5,8,1970,1907,0.968,0.2143,0.9593
θ=6 vs θ=7,6,7,1970,1969,0.9995,0.2164,0.9994
θ=6 vs θ=8,6,8,1970,1917,0.9731,0.2145,0.9658
θ=7 vs θ=8,7,8,1970,1918,0.9736,0.2144,0.9664
