word,성학대,신체학대,정서학대,방임
가게,11.0,28.0,11.0,22.0
가기,47.0,56.0,22.0,18.0
가까이,5.0,7.0,0.0,3.0
가깝다,3.0,4.0,3.0,5.0
가난하다,2.0,7.0,3.0,10.0
가능하다,2.0,2.0,2.0,0.0
가다,178.0,342.0,162.0,154.0
가다가,9.0,4.0,5.0,0.0
가도,4.0,8.0,2.0,10.0
가두다,3.0,23.0,26.0,9.0
가득하다,0.0,5.0,2.0,1.0
가라,4.0,10.0,10.0,4.0
가라앉다,2.0,8.0,3.0,5.0
가래,3.0,0.0,1.0,2.0
가르치다,6.0,21.0,8.0,7.0
가만,1.0,7.0,0.0,0.0
가만있다,1.0,6.0,2.0,1.0
가만히,30.0,57.0,28.0,13.0
가면,27.0,73.0,45.0,44.0
가방,1.0,7.0,3.0,6.0
가버리다,3.0,6.0,5.0,7.0
가볍다,0.0,3.0,3.0,2.0
가보,0.0,2.0,1.0,2.0
가보다,3.0,28.0,6.0,3.0
가쁘,3.0,2.0,0.0,0.0
가세,2.0,0.0,1.0,2.0
가수,10.0,9.0,7.0,6.0
가슴,107.0,66.0,22.0,8.0
가시,3.0,1.0,0.0,3.0
가야,20.0,37.0,19.0,27.0
가요,117.0,193.0,92.0,91.0
가위,0.0,3.0,2.0,1.0
가을,0.0,2.0,2.0,2.0
가장,10.0,34.0,15.0,10.0
가정,1.0,8.0,1.0,2.0
가져가다,8.0,8.0,1.0,4.0
가져오다,6.0,10.0,6.0,4.0
가족,37.0,78.0,48.0,37.0
가지,39.0,61.0,28.0,47.0
가지다,2.0,0.0,2.0,4.0
가출,29.0,37.0,18.0,25.0
각자,4.0,3.0,4.0,1.0
간다,5.0,9.0,7.0,4.0
간단하다,0.0,3.0,3.0,1.0
간섭,1.0,4.0,1.0,1.0
간식,9.0,26.0,11.0,14.0
간지럽다,3.0,1.0,2.0,2.0
간호사,8.0,5.0,3.0,2.0
갇히다,1.0,6.0,8.0,2.0
갈다,66.0,147.0,51.0,50.0
갈비뼈,0.0,7.0,0.0,0.0
갈수록,1.0,4.0,1.0,1.0
감각,1.0,3.0,1.0,0.0
감고,8.0,11.0,7.0,6.0
감기,3.0,11.0,9.0,13.0
감다,5.0,8.0,7.0,3.0
감사하다,9.0,10.0,6.0,7.0
감시,3.0,10.0,9.0,3.0
감옥,4.0,18.0,9.0,1.0
감정,7.0,19.0,10.0,9.0
갑자기,71.0,136.0,79.0,32.0
강아지,7.0,11.0,8.0,7.0
강요,2.0,3.0,6.0,1.0
강제,25.0,6.0,5.0,4.0
강하다,1.0,9.0,2.0,2.0
갖다,12.0,16.0,12.0,11.0
같이,159.0,300.0,175.0,163.0
개발자,1.0,3.0,1.0,1.0
개운하다,5.0,20.0,15.0,10.0
개월,9.0,15.0,9.0,13.0
개인,2.0,5.0,1.0,1.0
걔네,5.0,6.0,2.0,7.0
거나,42.0,150.0,74.0,47.0
거들다,18.0,64.0,39.0,23.0
거래,4.0,14.0,11.0,5.0
거려,9.0,13.0,7.0,5.0
거리,6.0,31.0,12.0,6.0
거만,3.0,2.0,1.0,5.0
거슬리다,0.0,11.0,1.0,2.0
거실,4.0,9.0,7.0,1.0
거울,3.0,8.0,9.0,2.0
거의,80.0,156.0,81.0,99.0
거지,4.0,9.0,15.0,16.0
거짓말,1.0,22.0,10.0,4.0
걱정,144.0,260.0,132.0,129.0
걱정거리,4.0,15.0,2.0,3.0
건가,2.0,3.0,2.0,5.0
건강,0.0,12.0,4.0,4.0
건강하다,53.0,127.0,72.0,50.0
건데,3.0,4.0,3.0,0.0
건드리다,11.0,8.0,2.0,1.0
건물,1.0,2.0,0.0,3.0
건지다,4.0,21.0,13.0,11.0
걷기,0.0,5.0,2.0,1.0
걷다,6.0,17.0,4.0,1.0
걷어차다,0.0,9.0,0.0,0.0
걸다,18.0,40.0,30.0,21.0
걸레,2.0,2.0,1.0,0.0
걸리다,17.0,48.0,30.0,29.0
걸어가다,2.0,2.0,1.0,2.0
걸이,0.0,7.0,1.0,1.0
검다,3.0,1.0,0.0,1.0
검사,10.0,18.0,8.0,3.0
겁나다,6.0,9.0,6.0,0.0
게임,49.0,146.0,66.0,59.0
겠다,1.0,5.0,4.0,1.0
겨를,1.0,7.0,3.0,4.0
겨우,4.0,8.0,3.0,3.0
겨울,3.0,13.0,4.0,2.0
격해지다,0.0,4.0,0.0,1.0
겪다,4.0,2.0,3.0,0.0
견디다,3.0,5.0,4.0,1.0
결국,4.0,8.0,3.0,3.0
결혼,5.0,4.0,6.0,1.0
경기,1.0,5.0,4.0,2.0
경비,4.0,4.0,1.0,0.0
경우,2.0,13.0,4.0,7.0
경찰,23.0,107.0,49.0,18.0
경찰관,2.0,3.0,3.0,2.0
경찰서,1.0,13.0,1.0,0.0
경험,0.0,2.0,3.0,0.0
계단,4.0,1.0,3.0,6.0
계세,21.0,29.0,18.0,19.0
계속,127.0,212.0,111.0,93.0
계시,1.0,16.0,4.0,5.0
계시다,7.0,21.0,9.0,9.0
계획,1.0,3.0,2.0,0.0
고개,2.0,4.0,1.0,0.0
고도,1.0,1.0,4.0,0.0
고등학교,2.0,2.0,2.0,1.0
고등학생,8.0,4.0,2.0,2.0
고르다,2.0,2.0,2.0,0.0
고맙다,10.0,17.0,10.0,3.0
고모,1.0,7.0,4.0,5.0
고민,37.0,48.0,27.0,17.0
고생,2.0,9.0,5.0,4.0
고아,0.0,2.0,2.0,4.0
고아원,0.0,3.0,1.0,2.0
고양이,2.0,4.0,7.0,3.0
고요,4.0,23.0,19.0,6.0
고장,3.0,0.0,1.0,4.0
고추,10.0,0.0,0.0,0.0
고치다,7.0,7.0,2.0,3.0
고프다,0.0,3.0,2.0,15.0
골절,0.0,8.0,0.0,1.0
골프,0.0,4.0,0.0,1.0
골프채,0.0,16.0,0.0,1.0
곳도,8.0,11.0,19.0,10.0
공감,0.0,2.0,3.0,1.0
공격,0.0,5.0,2.0,1.0
공기놀이,2.0,2.0,3.0,0.0
공무원,1.0,3.0,1.0,3.0
공연,3.0,3.0,2.0,2.0
공원,18.0,23.0,8.0,10.0
공유,2.0,3.0,2.0,0.0
공책,1.0,3.0,0.0,2.0
공평하다,1.0,5.0,2.0,0.0
과목,1.0,3.0,1.0,0.0
과외,1.0,3.0,0.0,2.0
과자,2.0,13.0,3.0,6.0
