word,성학대,신체학대,정서학대,방임
10분,2.0,2.0,1.0,2.0
1년,9.0,28.0,16.0,12.0
1년도,1.0,4.0,1.0,3.0
1년에,2.0,6.0,2.0,0.0
1년은,2.0,5.0,3.0,2.0
1등,2.0,4.0,2.0,1.0
1주일,3.0,4.0,0.0,1.0
1학년,1.0,5.0,2.0,2.0
2년,2.0,19.0,4.0,6.0
2일,0.0,3.0,1.0,1.0
2주,14.0,20.0,1.0,6.0
2주에,3.0,7.0,1.0,6.0
2주일,1.0,0.0,2.0,2.0
2학년,2.0,3.0,0.0,1.0
30분,2.0,9.0,10.0,2.0
30분만,1.0,4.0,0.0,0.0
30분이요,1.0,6.0,1.0,0.0
3개월,4.0,2.0,1.0,4.0
3년,0.0,4.0,0.0,1.0
3일,15.0,20.0,15.0,10.0
3일은,1.0,3.0,1.0,3.0
3점이요,0.0,3.0,1.0,1.0
3주,6.0,4.0,1.0,4.0
3학년,4.0,2.0,0.0,2.0
4일,3.0,7.0,6.0,2.0
4학년,1.0,1.0,1.0,2.0
5일,5.0,8.0,3.0,2.0
5학년,0.0,1.0,3.0,3.0
6개월,2.0,5.0,3.0,7.0
6학년,2.0,1.0,4.0,1.0
7시에,1.0,3.0,3.0,0.0
가거나,12.0,27.0,9.0,6.0
가거든요,0.0,1.0,2.0,3.0
가게,8.0,27.0,9.0,19.0
가고,42.0,64.0,34.0,51.0
가고요,4.0,3.0,1.0,0.0
가기,36.0,37.0,19.0,13.0
가기가,3.0,7.0,2.0,1.0
가기도,4.0,10.0,2.0,2.0
가기로,7.0,3.0,0.0,1.0
가까운,1.0,1.0,2.0,5.0
가까이,5.0,7.0,0.0,2.0
가끔씩,13.0,12.0,10.0,6.0
가끔요,4.0,13.0,10.0,12.0
가끔은,6.0,22.0,10.0,5.0
가끔이에요,2.0,2.0,1.0,1.0
가끔이요,13.0,18.0,11.0,9.0
가난하고,1.0,1.0,2.0,1.0
가난해서,0.0,3.0,0.0,3.0
가는,40.0,58.0,38.0,35.0
가는데,18.0,13.0,3.0,13.0
가니까,4.0,8.0,4.0,12.0
가니까요,1.0,1.0,3.0,2.0
가다가,6.0,4.0,5.0,0.0
가도,2.0,8.0,2.0,10.0
가두고,1.0,6.0,7.0,3.0
가두지는,0.0,0.0,2.0,3.0
가둔,0.0,5.0,5.0,2.0
가둘,0.0,2.0,3.0,0.0
가둬요,1.0,1.0,5.0,3.0
가득한,0.0,4.0,2.0,0.0
가라고,3.0,10.0,10.0,4.0
가라앉는,1.0,1.0,2.0,1.0
가라앉아요,0.0,5.0,0.0,3.0
가라앉을,1.0,3.0,1.0,1.0
가래요,2.0,0.0,1.0,2.0
가려고,4.0,6.0,4.0,4.0
가르쳐,0.0,7.0,2.0,2.0
가르쳐주고,1.0,4.0,0.0,0.0
가르치는,2.0,1.0,2.0,4.0
가만,1.0,7.0,0.0,0.0
가만있어요,0.0,5.0,0.0,0.0
가만히,30.0,58.0,28.0,12.0
가면,26.0,65.0,41.0,42.0
가면서,1.0,7.0,2.0,3.0
가방으로,0.0,5.0,0.0,0.0
가보고,2.0,2.0,1.0,1.0
가본,1.0,7.0,2.0,0.0
가봤어요,0.0,13.0,2.0,4.0
가쁘고,3.0,2.0,0.0,0.0
가서,80.0,159.0,70.0,73.0
가서요,3.0,3.0,1.0,5.0
가세요,2.0,0.0,1.0,2.0
가셔서,2.0,2.0,2.0,2.0
가수,4.0,1.0,1.0,2.0
가수가,5.0,7.0,4.0,5.0
가수요,2.0,2.0,1.0,0.0
가슴,28.0,8.0,1.0,0.0
가슴도,19.0,11.0,3.0,0.0
가슴에,0.0,7.0,0.0,0.0
가슴을,25.0,10.0,0.0,2.0
가슴이,27.0,39.0,18.0,7.0
가슴이랑,23.0,4.0,0.0,0.0
가야,20.0,36.0,18.0,26.0
가요,86.0,153.0,80.0,74.0
가자고,7.0,11.0,5.0,5.0
가장,10.0,34.0,15.0,10.0
가정을,0.0,4.0,1.0,2.0
가져가서,6.0,2.0,1.0,2.0
가져다,2.0,1.0,4.0,0.0
가져오라고,2.0,4.0,0.0,0.0
가져와서,3.0,3.0,3.0,0.0
가족,6.0,7.0,6.0,2.0
가족끼리,0.0,2.0,2.0,3.0
가족들,2.0,2.0,3.0,1.0
가족들끼리,2.0,3.0,0.0,0.0
가족들을,0.0,4.0,2.0,0.0
가족들이,1.0,10.0,6.0,3.0
가족들이랑,14.0,7.0,3.0,4.0
가족은,0.0,7.0,8.0,4.0
가족을,0.0,10.0,5.0,0.0
가족이,3.0,24.0,8.0,12.0
가족이랑,5.0,5.0,1.0,3.0
가족이요,0.0,0.0,2.0,3.0
가족한테,2.0,1.0,3.0,1.0
가주세요,3.0,2.0,2.0,0.0
가줘요,1.0,1.0,2.0,1.0
가줬어요,1.0,3.0,0.0,1.0
가지,6.0,13.0,5.0,16.0
가지고,36.0,53.0,21.0,32.0
가지는,2.0,7.0,2.0,2.0
가진,1.0,5.0,0.0,1.0
가출,3.0,7.0,4.0,7.0
가출은,3.0,1.0,2.0,1.0
가출하고,3.0,1.0,2.0,1.0
가출한,10.0,15.0,4.0,8.0
가출해,4.0,5.0,0.0,2.0
가출해서,2.0,2.0,0.0,4.0
가출했던,1.0,3.0,1.0,0.0
가출했어요,3.0,0.0,0.0,2.0
가출했을,8.0,2.0,0.0,3.0
각자,4.0,3.0,4.0,1.0
간다고,5.0,7.0,5.0,4.0
간대요,0.0,0.0,1.0,4.0
간식,6.0,11.0,7.0,5.0
간식도,2.0,10.0,1.0,5.0
간식을,1.0,4.0,3.0,4.0
간호사,0.0,4.0,1.0,0.0
간호사가,7.0,2.0,3.0,1.0
갇혀,0.0,1.0,5.0,0.0
갈까,2.0,2.0,1.0,3.0
갈비뼈에,0.0,7.0,0.0,0.0
갈수록,1.0,4.0,1.0,1.0
감고,8.0,11.0,7.0,6.0
감기,3.0,5.0,4.0,3.0
감기가,0.0,1.0,1.0,4.0
감기에,0.0,3.0,3.0,5.0
감사하고,4.0,1.0,1.0,1.0
감사해요,5.0,5.0,4.0,4.0
감시하고,0.0,2.0,1.0,2.0
감시하는,1.0,3.0,1.0,1.0
감시해요,1.0,4.0,0.0,0.0
감아요,3.0,4.0,0.0,0.0
감았어요,0.0,4.0,0.0,1.0
감옥,0.0,4.0,3.0,0.0
감옥에,3.0,13.0,7.0,0.0
감정,0.0,2.0,3.0,0.0
감정을,2.0,3.0,0.0,0.0
감정이,3.0,8.0,4.0,6.0
갑자기,71.0,136.0,79.0,32.0
갔거든요,2.0,1.0,1.0,2.0
갔고,3.0,10.0,2.0,2.0
갔는데,14.0,35.0,9.0,6.0
갔는지,1.0,3.0,0.0,1.0
갔다,10.0,27.0,10.0,10.0
갔다가,6.0,8.0,5.0,7.0
갔다고,0.0,8.0,3.0,2.0
갔대요,0.0,5.0,0.0,0.0
갔더니,5.0,6.0,2.0,3.0
갔어요,40.0,119.0,15.0,35.0
갔었어요,3.0,8.0,1.0,9.0
갔을,5.0,9.0,5.0,2.0
강아지,4.0,1.0,4.0,2.0
강아지가,2.0,1.0,1.0,3.0
강아지랑,2.0,6.0,5.0,1.0
강아지를,0.0,2.0,2.0,1.0
강요해요,0.0,3.0,4.0,0.0
강제로,24.0,6.0,4.0,4.0
갖고,6.0,9.0,6.0,5.0
갖다,3.0,5.0,5.0,2.0
같거든요,0.0,1.0,3.0,1.0
같고,21.0,32.0,26.0,20.0
같고요,2.0,6.0,1.0,0.0
같기도,9.0,16.0,12.0,8.0
같긴,8.0,2.0,2.0,3.0
같다고,6.0,20.0,6.0,10.0
같대요,1.0,3.0,1.0,2.0
같아,2.0,3.0,4.0,0.0
같아서,51.0,93.0,60.0,50.0
같아서요,40.0,58.0,42.0,36.0
같아요,273.0,535.0,318.0,258.0
같았어요,6.0,7.0,5.0,4.0
같애요,0.0,1.0,2.0,2.0
같으면,1.0,10.0,2.0,1.0
같은,55.0,142.0,74.0,59.0
같은데,17.0,39.0,23.0,20.0
같은데요,12.0,30.0,14.0,15.0
같을,1.0,6.0,4.0,5.0
같이,159.0,299.0,176.0,162.0
같이하고,2.0,1.0,1.0,1.0
같이할,0.0,1.0,3.0,1.0
같지,3.0,6.0,5.0,2.0
같지는,1.0,1.0,2.0,6.0
같진,1.0,2.0,2.0,6.0
개운하지,5.0,1.0,1.0,2.0
개운한,3.0,5.0,3.0,2.0
개운해요,4.0,15.0,10.0,8.0
개월,3.0,1.0,2.0,0.0
개인,1.0,3.0,0.0,1.0
걔가,4.0,2.0,0.0,1.0
걔네,4.0,1.0,1.0,3.0
걔는,2.0,2.0,2.0,1.0
걔도,0.0,4.0,1.0,1.0
거거든요,1.0,6.0,1.0,0.0
거고,3.0,7.0,4.0,2.0
거기서,6.0,3.0,8.0,5.0
거기에,7.0,6.0,2.0,2.0
거긴,1.0,1.0,0.0,3.0
거나,1.0,7.0,3.0,1.0
거냐고,0.0,5.0,9.0,2.0
거는,9.0,21.0,9.0,9.0
거니까,3.0,7.0,4.0,1.0
거니까요,2.0,7.0,3.0,2.0
거다,2.0,1.0,3.0,0.0
거라,2.0,18.0,5.0,6.0
거라고,27.0,61.0,46.0,12.0
거라면서,1.0,2.0,3.0,0.0
거라서,0.0,15.0,4.0,2.0
거라서요,2.0,5.0,0.0,2.0
거랑,8.0,10.0,4.0,3.0
거래요,4.0,13.0,10.0,5.0
거려요,1.0,2.0,1.0,1.0
거로,2.0,4.0,1.0,1.0
거를,9.0,1.0,7.0,3.0
거만,1.0,2.0,1.0,5.0
거면,2.0,18.0,14.0,9.0
거슬리면,0.0,3.0,0.0,2.0
거실에,1.0,4.0,3.0,0.0
거실에서,3.0,4.0,2.0,0.0
거에,4.0,7.0,7.0,2.0
거에도,0.0,3.0,6.0,1.0
거에요,0.0,5.0,3.0,0.0
거였어요,0.0,7.0,2.0,1.0
거예요,60.0,147.0,73.0,61.0
거요,61.0,114.0,78.0,58.0
거울,1.0,3.0,6.0,1.0
거울을,0.0,2.0,3.0,0.0
거의,80.0,156.0,81.0,99.0
거잖아요,5.0,4.0,1.0,3.0
거죠,2.0,5.0,6.0,2.0
거지,4.0,7.0,8.0,11.0
거지라고,0.0,1.0,5.0,2.0
거짓말,0.0,2.0,3.0,1.0
거짓말을,0.0,7.0,1.0,2.0
거짓말한다고,0.0,6.0,1.0,0.0
거짓말했다고,0.0,9.0,1.0,0.0
걱정,12.0,17.0,10.0,9.0
걱정거리가,0.0,4.0,0.0,1.0
걱정거리는,1.0,4.0,1.0,1.0
걱정도,4.0,5.0,4.0,2.0
걱정돼서,4.0,7.0,2.0,2.0
걱정돼서요,4.0,4.0,1.0,2.0
걱정돼요,34.0,70.0,34.0,35.0
걱정되고,6.0,13.0,5.0,9.0
걱정되는,3.0,6.0,4.0,4.0
걱정은,1.0,4.0,2.0,1.0
걱정을,8.0,10.0,0.0,2.0
걱정이,21.0,32.0,17.0,18.0
걱정이에요,61.0,108.0,53.0,56.0
걱정이요,3.0,0.0,1.0,2.0
걱정하고,6.0,8.0,2.0,0.0
걱정하느라,0.0,8.0,0.0,2.0
걱정하는,14.0,21.0,2.0,2.0
걱정하니까요,1.0,1.0,2.0,1.0
걱정하면서,2.0,1.0,2.0,0.0
걱정할,4.0,1.0,1.0,0.0
걱정할까,2.0,3.0,1.0,0.0
걱정해,5.0,7.0,6.0,1.0
걱정해요,3.0,15.0,6.0,1.0
건가,1.0,1.0,2.0,3.0
건가요,0.0,2.0,0.0,3.0
건강은,0.0,6.0,1.0,1.0
건강한,11.0,23.0,11.0,6.0
건강해요,40.0,101.0,56.0,40.0
건데,7.0,15.0,10.0,8.0
건데요,3.0,3.0,2.0,0.0
건드리고,1.0,3.0,0.0,1.0
건지,4.0,17.0,13.0,9.0
걷다가,3.0,4.0,2.0,1.0
걸고,6.0,8.0,6.0,3.0
걸까요,0.0,1.0,3.0,1.0
걸려서,4.0,7.0,7.0,7.0
걸려요,1.0,10.0,5.0,1.0
걸렸는데,2.0,0.0,1.0,2.0
걸렸어요,1.0,6.0,2.0,4.0
걸렸을,1.0,1.0,5.0,3.0
걸로,8.0,43.0,17.0,3.0
걸로도,0.0,3.0,3.0,0.0
걸리고,0.0,3.0,2.0,0.0
걸리는,4.0,1.0,2.0,1.0
걸리면,0.0,6.0,3.0,1.0
걸린,0.0,5.0,3.0,3.0
걸어,1.0,8.0,7.0,2.0
걸어도,3.0,3.0,1.0,0.0
걸어서,5.0,4.0,2.0,2.0
걸어요,4.0,8.0,4.0,2.0
걸요,0.0,6.0,4.0,1.0
걸을,2.0,1.0,2.0,1.0
걸지,1.0,2.0,2.0,0.0
