doc_id,gt_types,pred_main,pred_subs,pred_set,main_hit,exact_set_match,jaccard,missing_from_pred,extra_in_pred,gt_has_label,pred_has_label,source_file
0002,신체학대,신체학대,정서학대,신체학대|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0002.json
0004,신체학대,신체학대,방임|정서학대,방임|신체학대|정서학대,1,0,0.3333333333333333,,방임|정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0004.json
0005,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0005.json
0006,신체학대,신체학대,방임|정서학대,방임|신체학대|정서학대,1,0,0.3333333333333333,,방임|정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0006.json
0007,신체학대,신체학대,정서학대,신체학대|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0007.json
0008,신체학대,신체학대,정서학대,신체학대|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0008.json
0009,신체학대,신체학대,방임|정서학대,방임|신체학대|정서학대,1,0,0.3333333333333333,,방임|정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0009.json
0012,신체학대,신체학대,,신체학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0012.json
0013,신체학대,신체학대,,신체학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0013.json
0014,신체학대,신체학대,,신체학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0014.json
0015,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0015.json
0016,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0016.json
0017,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0017.json
0018,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0018.json
0023,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0023.json
0024,,신체학대,,신체학대,0,0,0.0,,신체학대,0,1,C:\Users\todtj\PycharmProjects\Childeren\data\0024.json
0025,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0025.json
0026,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0026.json
0027,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0027.json
0028,방임,방임,,방임,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0028.json
0029,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0029.json
0030,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0030.json
0031,,신체학대,,신체학대,0,0,0.0,,신체학대,0,1,C:\Users\todtj\PycharmProjects\Childeren\data\0031.json
0032,신체학대,신체학대,정서학대,신체학대|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0032.json
0033,신체학대,신체학대,,신체학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0033.json
0034,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0034.json
0035,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0035.json
0037,,신체학대,,신체학대,0,0,0.0,,신체학대,0,1,C:\Users\todtj\PycharmProjects\Childeren\data\0037.json
0038,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0038.json
0039,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0039.json
0041,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0041.json
0042,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0042.json
0043,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0043.json
0044,정서학대,정서학대,,정서학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0044.json
0045,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0045.json
0046,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0046.json
0047,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0047.json
0048,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0048.json
0049,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0049.json
0050,신체학대,신체학대,,신체학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0050.json
0055,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0055.json
0056,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0056.json
0057,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0057.json
0058,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0058.json
0059,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0059.json
0061,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0061.json
0062,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0062.json
0063,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0063.json
0065,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0065.json
0066,방임,방임,,방임,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0066.json
0067,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0067.json
0069,정서학대,신체학대,정서학대,신체학대|정서학대,0,0,0.5,,신체학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0069.json
0072,성학대,성학대,,성학대,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0072.json
0073,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0073.json
0074,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0074.json
0075,방임,방임,,방임,1,1,1.0,,,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0075.json
0076,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0076.json
0077,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0077.json
0078,,,,,0,0,,,,0,0,C:\Users\todtj\PycharmProjects\Childeren\data\0078.json
0079,방임,방임,정서학대,방임|정서학대,1,0,0.5,,정서학대,1,1,C:\Users\todtj\PycharmProjects\Childeren\data\0079.json
