word,chi2,p_value
만지다,620.0857219385645,4.456161749842877e-134
지고,359.49916556317066,1.3083987845515095e-77
때리다,274.113846255581,3.9757210503378753e-59
맞다,219.59234067728215,2.4594734483660804e-47
빨래,182.8712285900503,2.1153668808383148e-39
입다,172.8533167516905,3.0806981880168542e-37
아저씨,163.2578822571664,3.630902601123206e-35
뽀뽀,159.31337248830235,2.5781472573061608e-34
가슴,146.17898865510992,1.7577598568234555e-31
사진,144.24323712406692,4.596708568614991e-31
찍다,137.34860624791233,1.4096440165971516e-29
넣다,130.4835709841982,4.254626618744487e-28
성기,128.8495468732373,9.571721960016336e-28
냄새,121.86586141915842,3.058907660746423e-26
배고프다,117.60012007626872,2.536584420968577e-25
벗다,116.40500277098086,4.5875907022152395e-25
벗기다,106.0034124242101,7.948624345604106e-23
못_먹다,100.70303799002298,1.0972981443384444e-21
이상하다,92.07014151509715,7.86800648864617e-20
병원,84.17733347241695,3.89701673131199e-18
팬티,83.78738278630485,4.725240432213962e-18
처음,79.53897250443109,3.854094326564803e-17
만난,77.83951564574971,8.920304501417865e-17
신발,73.46768520992164,7.71752857779574e-16
바지,72.21928596235102,1.4287009170706157e-15
안_챙기다,72.1045357551244,1.5118994401716582e-15
굶다,70.60976528510867,3.1599610301429325e-15
상처,70.15096699686536,3.962155947395669e-15
내다,69.5704234766175,5.2752136106573145e-15
바쁘다,68.59797266209799,8.519875568500128e-15
피멍,66.78648031061104,2.0804008019327387e-14
주먹,65.78389833234046,3.409300925740824e-14
안_들어오다,65.06171688874088,4.865843367951415e-14
속옷,64.30377429417963,7.067633070830974e-14
연락,60.784068984726055,3.9968554186251206e-13
대학생,60.39822509682999,4.832413722784436e-13
더럽다,58.92813155052106,9.958893142102332e-13
작다,58.90885019139503,1.0053775923536312e-12
채팅,58.16736358909626,1.4477043328391217e-12
다리,56.193851026303356,3.819238579868338e-12
안_써다,53.93434878247853,1.158823173072535e-11
관심,52.85466726519854,1.9689373870580384e-11
안_놀다,52.498608290062094,2.3449530007757866e-11
팔이,52.45610316695971,2.3943877306843038e-11
말로,50.99549396892123,4.902911298821334e-11
안_오다,50.79037483981544,5.421911415069848e-11
먹다,50.429858175898154,6.470659746691643e-11
엉덩이,49.427338616120906,1.0579073885939368e-10
머리,49.107768109664704,1.2373340358460868e-10
손가락,47.73312221934866,2.426959382936373e-10
소중하다,47.52748194345511,2.6842088018877795e-10
오빠,47.48334800479043,2.742875676960672e-10
잔소리,46.729351708790006,3.9682360500711806e-10
무섭다,46.44856986121964,4.553157354450678e-10
생각나다,46.19362737069804,5.158531847044477e-10
강제,45.889414281456915,5.986996120555839e-10
고프다,44.29833536722269,1.3042596008759267e-09
키스,44.29203173767533,1.308287719734569e-09
들다,44.288493036458455,1.3105544501050374e-09
성적,42.96088978241773,2.508508920566631e-09
집어넣다,42.868709279279265,2.624135851326695e-09
부분,42.74186998107526,2.7919897426292156e-09
치료,42.55429808397435,3.060070364873076e-09
화난,42.29256667888417,3.4776435387530695e-09
관계,42.10811612171925,3.805668459025165e-09
지르다,41.919493553080684,4.173095499408134e-09
무조건,41.872216375021075,4.270614097815458e-09
못_가다,41.846520764863556,4.32456786661791e-09
신경,41.83396285060216,4.351183222763865e-09
던지다,41.00256319326749,6.531022260930779e-09
아무,40.40327968337248,8.751113859162414e-09
고추,40.26548339788667,9.360043611564842e-09
안_돌보다,39.78753513406396,1.181927530594388e-08
종일,39.392664572150466,1.4330850916050007e-08
웃다,39.38698008215404,1.4370652694876546e-08
수치,39.307201905248014,1.4941034350707853e-08
바르다,39.0442656856073,1.6985892066746163e-08
변태,38.88939942369908,1.831872928145928e-08
화나다,38.48954812711238,2.2263099735456315e-08
떠오르다,37.33233395801538,3.913519308081278e-08
보내다,37.26188897976951,4.050183294004237e-08
온몸,37.0195818322453,4.557693062337215e-08
빨갛다,35.5183577707151,9.466762073276923e-08
보여주다,35.376464087029056,1.0143536244369633e-07
안_데려가다,35.02924035854114,1.201043181397377e-07
나가요,34.66212129533612,1.435856157541125e-07
안_주다,34.374274122678386,1.6515895815514675e-07
못_움직이다,34.22262434939685,1.777968121123717e-07
음식,33.84300066782844,2.138292669932263e-07
노래방,33.7971083567644,2.1865223716409795e-07
이번,33.64094659342681,2.358920355611309e-07
비교,33.56004955888243,2.453497868806916e-07
소름,33.52679478551466,2.493465726073226e-07
달라,33.29834876069133,2.786165626716847e-07
손바닥,32.98092188769367,3.250654227102055e-07
뭐라다,32.855897487520316,3.4541469008733147e-07
소리,32.79445934930083,3.5587563108473544e-07
깁스,32.73174027386196,3.668809382721857e-07
비슷하다,32.720393125834036,3.68908010143218e-07
인스타,32.212386718309325,4.7208982450479774e-07
메시지,32.212386718309325,4.7208982450479774e-07
성폭행,32.212386718309325,4.7208982450479774e-07
끌어안다,31.699379028058228,6.055316207773312e-07
나이,31.313741178998395,7.300853751833066e-07
얼굴,31.29177194818052,7.379054521812674e-07
영상통화,31.268430084683146,7.463057432886005e-07
쫓아내다,31.073206528747974,8.204061099462267e-07
할아버지,30.990552053149287,8.539506924920151e-07
막대기,30.954090513709854,8.691801155717112e-07
풀이,30.918238084476886,8.844194007296181e-07
학원,30.74862210536959,9.602099475569135e-07
축구,30.669776068113737,9.976152000036472e-07
안_써주다,30.625456078080866,1.0192758304988157e-06
안_행동,30.625456078080866,1.0192758304988157e-06
저녁,30.582332770342013,1.0408020168876062e-06
비싸다,30.503857933557093,1.0811455686744225e-06
이후,30.262213001317328,1.2154398352651385e-06
잡고,29.22495350519918,2.008455950185459e-06
작아지다,29.11328513560422,2.11997796189795e-06
스럽다,28.97743510710201,2.2640122891778895e-06
나가다,28.83744926871443,2.4226513372371058e-06
부러지다,28.81878540509621,2.4446236150614146e-06
놀리다,28.513649501185988,2.833390965056511e-06
왕따,28.244088363881573,3.2278272862947348e-06
당하다,28.211488544428956,3.279099464468421e-06
치료받다,28.198381571311295,3.2999420656563616e-06
지게,28.185838378520668,3.320011896701282e-06
넣기,28.185838378520668,3.320011896701282e-06
징그럽다,28.15068758968696,3.3769063293691753e-06
파리채,27.948416056190634,3.7237203538901283e-06
집도,27.867474626688654,3.872258846500666e-06
못_오다,27.677621612477246,4.244268597493503e-06
버스,27.49886418744872,4.627057402280166e-06
돋다,27.39268201120135,4.870542697366514e-06
안_만지다,27.35921989671379,4.949891526774354e-06
지저분하다,27.203311943696956,5.336935866179448e-06
종아리,27.105789572758844,5.594235784764067e-06
차려,27.082217749483288,5.658261437993721e-06
부다,26.890370712487556,6.207285496092579e-06
멍청하다,26.478830651833565,7.570840236341764e-06
이유,26.422016810205236,7.781197484594674e-06
못_챙기다,26.367194331766818,7.989705661239395e-06
심하다,25.81114881809137,1.0446380008673628e-05
경찰,25.5656283904555,1.1758442277267188e-05
쫓아오다,25.410734167108785,1.2669458937460751e-05
차다,25.072990797468268,1.4907309290645653e-05
마구,25.013680073064094,1.5339139283568108e-05
안_쓰다,24.909238053495436,1.613009771184331e-05
버리다,24.889689443757334,1.62825987051133e-05
식은땀,24.52979493049998,1.936156183990814e-05
안_사주다,24.457735749531174,2.0044521626536548e-05
만나다,24.34309438928132,2.118089663572212e-05
사귀다,24.28968974997431,2.173197453236492e-05
지난주,24.283592129865728,2.1795797535768272e-05
씻다,24.224803524960613,2.2420795866164315e-05
생리,24.159290038732003,2.3138356574107973e-05
차단,24.159290038732003,2.3138356574107973e-05
해달라다,24.036703886111592,2.4543079342606624e-05
그때,24.003083515125656,2.494297725923226e-05
닿다,23.97886673238668,2.5235041799993342e-05
용돈,23.949648239594982,2.5591970115613373e-05
새엄마,23.88600790353228,2.638690175469434e-05
화낼,23.88482710000774,2.6401881403147462e-05
보라,23.786191073855026,2.7683571580856683e-05
안_들다,23.60693604225196,3.017365293722528e-05
지기,23.479344246699263,3.2080888514347056e-05
기사,23.479344246699263,3.2080888514347056e-05
죽다,23.36077656402125,3.396075477339038e-05
짜증,23.312827741299177,3.4751790278082645e-05
올리다,23.20877708323412,3.6532088887126326e-05
안_혼나다,23.154111302252446,3.750354133492249e-05
대고,23.15408696263156,3.750397955177584e-05
아래,23.128765947699982,3.7962640723292815e-05
나무,23.005928746675774,4.026827375512201e-05
문자,22.996423520754604,4.045239587550391e-05
벌리다,22.883416614797884,4.270675590063372e-05
회초리,22.835372755253303,4.370270086559423e-05
따라오다,22.766973571950288,4.5160665545298094e-05
보살피다,22.723391254718713,4.611482137927611e-05
부위,22.611062215191517,4.866768428577897e-05
싸우다,22.131229922520614,6.125569093028884e-05
막말,22.126480754748354,6.139525938276782e-05
잡다,21.873836842270336,6.9295128654047e-05
효자손,21.811232924581073,7.140440256393508e-05
방망이,21.782323186244795,7.239990788886356e-05
아깝다,21.781889452775737,7.241494826334902e-05
