word,chi2,p_value
만지다,604.1019374122255,1.3005987906213846e-130
지고,358.5002044534874,2.1530835345475033e-77
때리다,208.6659036319524,5.655969837071449e-45
맞다,206.74445760566746,1.471478937688451e-44
빨래,188.36924901828692,1.3736301815942827e-40
입다,167.68634755722738,4.019095626316677e-36
아저씨,162.662914473991,4.880080236848922e-35
뽀뽀,158.87582635778594,3.2042752837840785e-34
가슴,145.5407336221022,2.4133340110730657e-31
찍다,143.8298344865706,5.644187746434472e-31
사진,143.7604995996626,5.8418991324674015e-31
성기,128.49893609215647,1.1390467407852393e-27
넣다,127.64758887408999,1.7377520820591432e-27
냄새,122.00052165440933,2.8612858099677156e-26
배고프다,115.36534506754211,7.681182972580944e-25
벗다,111.34112440487239,5.645458656572564e-24
벗기다,105.68009977723277,9.329262190596431e-23
이상하다,89.67644653569334,2.570695855876295e-19
병원,84.99547101640327,2.6009277356952448e-18
팬티,83.53516769681906,5.352444834570741e-18
처음,80.74735211926371,2.1218827926093173e-17
만난,77.56363244004233,1.0221981307282793e-16
내다,75.918181999785,2.303036371313104e-16
신발,74.49876417922397,4.640128120179436e-16
바지,71.99584200938843,1.5951686433745053e-15
상처,69.98921605731653,4.291091732959488e-15
피멍,66.83427949918774,2.0319754348315044e-14
바쁘다,66.36950946624222,2.5548783703094954e-14
주먹,65.8787582075515,3.253648073678395e-14
속옷,64.10837222163157,7.781509302348006e-14
굶다,63.295617863153005,1.161084426117565e-13
연락,60.58090309676663,4.417038567238182e-13
대학생,60.23387629319832,5.239369454149533e-13
작다,59.87963072230813,6.236806737946744e-13
더럽다,59.49550139286674,7.533938097740745e-13
채팅,58.01151423094442,1.5629987682939866e-12
다리,56.26249101472823,3.6925630894944326e-12
관심,55.42187509381114,5.580944614252571e-12
먹다,54.60916837081009,8.31931601205473e-12
팔이,52.49427723828657,2.3499431180809427e-11
말로,50.71277578917641,5.6322664157350185e-11
엉덩이,49.38840146777272,1.0782964010378505e-10
머리,48.98841914800924,1.3118832988753877e-10
키스,48.18710103455866,1.9429290973611328e-10
손가락,47.56853961318559,2.6307574753773444e-10
생각나다,47.38384324133499,2.879889828464932e-10
오빠,47.18835384657477,3.1693039104185124e-10
무섭다,45.87261311906134,6.036442168022393e-10
잔소리,45.77710479211685,6.32537681828441e-10
강제,45.72108020507991,6.501251907722629e-10
치료,44.94438394467204,9.507977074448172e-10
소중하다,44.739574093457875,1.0510218759285265e-09
