word,chi2,p_value
만지다,608.7314036775126,1.2897924130751097e-131
지고,361.1262042571825,5.813107159248262e-78
멍,299.24845501928473,1.4468507439862267e-64
때리다,207.2887340045566,1.1223579990265936e-44
맞다,205.37881081322504,2.90318780883457e-44
빨래,186.34240420945136,3.764168982105669e-40
입다,165.8846806854154,9.840955171698106e-36
아저씨,164.2394548875757,2.2292299240509904e-35
뽀뽀,160.028116488696,1.807436758199306e-34
가슴,147.08290295138698,1.122012695499654e-31
찍다,145.27443803175436,2.7545487858893134e-31
사진,145.0251216570037,3.1176035316370607e-31
성기,129.42083524552547,7.209123881858085e-28
넣다,128.87820557263328,9.436576762954505e-28
짓,127.66682523450173,1.721245886402583e-27
손,124.62171610117127,7.796846892895041e-27
냄새,120.71305100579043,5.418327731259367e-26
배고프다,114.36576215356668,1.2607448016060098e-24
벗다,112.1898586817011,3.706970912667177e-24
그,110.80340573784576,7.369373126761499e-24
벗기다,106.52648053409854,6.13420761751141e-23
밑,99.12423211149337,2.397691636550942e-21
발,99.06018890891671,2.474927842470726e-21
화,98.53815214404699,3.204767781496655e-21
옷,98.36287076237181,3.495259699230505e-21
뺨,90.9420155986608,1.3747182643890007e-19
이상하다,90.93889871433312,1.3768392611151519e-19
팬티,84.19210984702163,3.868662653681873e-18
병원,83.59755406159664,5.189954335321737e-18
처음,81.73314907154037,1.3038591528638496e-17
만난,78.29478145480878,7.12451082519499e-17
내다,75.5654634783259,2.740987950667488e-16
몸,74.4834185675389,4.675398692601526e-16
신발,73.6729135236126,6.974344510654595e-16
바지,72.58893745853541,1.1905611887831126e-15
등,71.51902236978734,2.0180985927342535e-15
욕,69.93470287662153,4.407990291885436e-15
상처,69.61004538757216,5.173166872933535e-15
피멍,66.58786384028312,2.2942876635026135e-14
바쁘다,65.62129299937489,3.693625685900823e-14
주먹,65.51871806554777,3.8850531586382896e-14
속옷,64.62248352754636,6.041000886341296e-14
밥,63.85637881834768,8.809552323886164e-14
굶다,62.31855406386197,1.8782575009249816e-13
돈,62.156022242809826,2.034692534433837e-13
연락,61.225183283253095,3.217012425024207e-13
대학생,60.66601652134007,4.2358865655715623e-13
더럽다,59.24323372558618,8.529198181326756e-13
작다,59.11669162725577,9.076890683883504e-13
채팅,58.45081693893638,1.2593599967305175e-12
다리,55.93965334457434,4.327369433434363e-12
관심,54.68051149824689,8.032843643038969e-12
알,53.570775911166336,1.3853167533365581e-11
먹다,53.22424783594997,1.642243430099226e-11
팔이,52.24230101654024,2.6592933477769756e-11
말로,51.24863012177268,4.330336680269154e-11
엉덩이,49.40206631629655,1.0710966170750586e-10
머리,48.60047957471361,1.586629535555031e-10
키스,48.53281321707205,1.6401301177648147e-10
생각나다,48.174842344328795,1.9546356088695266e-10
손가락,48.06235920276525,2.0653967534734184e-10
오빠,47.824403475838906,2.3208097011966627e-10
앱,47.179573750858225,3.182963552032898e-10
강제,46.16409716843251,5.233657687223889e-10
잔소리,46.15249259668518,5.263478416784661e-10
무섭다,46.151239322109504,5.26670914613083e-10
소중하다,45.14716246205786,8.609780658106855e-10
치료,44.65686114240329,1.0944292588587459e-09
집어넣다,43.07689282299353,2.370205315028071e-09
부분,42.97505411635188,2.491198685816318e-09
성적,42.82419683656111,2.6818614446627202e-09
팔,42.61402259722337,2.9720325666140435e-09
사,42.49939269534727,3.1433008576351413e-09
화난,42.433959243153765,3.24544911472006e-09
관계,42.30855238895031,3.4505811355083195e-09
신경,42.08242305065266,3.853749507179093e-09
무조건,41.670692340573815,4.712485054259782e-09
던지다,40.73402557240036,7.446148728534664e-09
고추,40.4440110142267,8.578815763872128e-09
아무,40.24704604438192,9.444666926011962e-09
지르다,40.160469274741935,9.852368056321635e-09
웃다,40.107147316603005,1.0112167259385563e-08
바르다,39.98613285858774,1.0727451600178169e-08
수치,39.529662266872506,1.340422156612643e-08
종일,39.52162018754494,1.3456924430422978e-08
변태,39.069062995883115,1.6781662812366085e-08
화나다,38.29363286311229,2.449478478432496e-08
떠오르다,37.670300935962764,3.3192426502888206e-08
고프다,37.55051384571014,3.5187869463013824e-08
온몸,36.86322308567984,4.9184127459777137e-08
들다,35.63241865389428,8.955575165413917e-08
보내다,35.50766380522409,9.516157957962519e-08
빨갛다,35.3786461685717,1.0132771431553563e-07
달라,35.283133409861335,1.0614810684200013e-07
피,35.24483372581473,1.0814475002560898e-07
챙기다,34.975281302011666,1.232987270130095e-07
간,34.68244401240207,1.4217342196448288e-07
너,34.56167649309128,1.5077372823040462e-07
비교,34.43570602782926,1.6029844453819014e-07
나가요,34.14181693418425,1.849206544942205e-07
노래방,34.02569524061025,1.9565958231927108e-07
이번,33.76824447150385,2.2174111298545646e-07
소름,33.71742879743077,2.2728539934618631e-07
비슷하다,32.97141187709732,3.2657032353797884e-07
음식,32.89367749802324,3.3913497016374335e-07
손바닥,32.82208669466777,3.5113301270607816e-07
깁스,32.622131086107586,3.869359182864915e-07
부러지다,32.40822451558136,4.2927975038278217e-07
지게,32.35520881138137,4.404709339995762e-07
넣기,32.35520881138137,4.404709339995762e-07
인스타,32.35520881138137,4.404709339995762e-07
메시지,32.35520881138137,4.404709339995762e-07
성폭행,32.35520881138137,4.404709339995762e-07
소리,32.323627163194736,4.4727549004951534e-07
뭐라다,32.260385221312085,4.6121860096394414e-07
쫓아내다,32.15594964746148,4.851999199114145e-07
풀이,32.008244523907216,5.212570020097652e-07
끌어안다,31.855832591258256,5.61268672694905e-07
나이,31.519555472569955,6.607258291744104e-07
영상통화,31.41391302489584,6.954640091041117e-07
할아버지,31.204687905835765,7.697347105674637e-07
혀,31.105271189369056,8.077499001920662e-07
얼굴,31.058693951741365,8.261992287158705e-07
치료받다,30.97954514005197,8.585198317312061e-07
학원,30.87221808055658,9.043719243645553e-07
막대기,30.842168535896793,9.176420671992817e-07
보여주다,30.78672775617904,9.426372998829806e-07
저녁,30.673679705118353,9.957295217531121e-07
비싸다,30.57176955134223,1.0461437517109448e-06
이후,30.509313136817838,1.0782912855517185e-06
약,30.452221086798506,1.108539373809941e-06
축구,30.401107563558917,1.1363376506082652e-06
나가다,29.616543696525675,1.6616553036676763e-06
혹,29.503338747563948,1.7552651577402501e-06
잡고,29.343251665049582,1.896692231142044e-06
스럽다,29.18682114665161,2.0458641839992617e-06
작아지다,29.182989953708656,2.0496608428917725e-06
당하다,28.419820800745192,2.9649069616193458e-06
들어서다,28.374218089979845,3.0310084767673366e-06
왕따,28.34524497855316,3.0737669636643604e-06
징그럽다,28.306607333774615,3.13172615622939e-06
술,28.285019984940682,3.1645821462990373e-06
집도,27.92677507272351,3.7628685486955045e-06
파리채,27.860494441486644,3.885341970649821e-06
버스,27.644506473390308,4.3127152081281115e-06
돋다,27.534745227463542,4.547554815335367e-06
지저분하다,27.255846202332176,5.203258856794316e-06
차려,27.145835121591716,5.487116640973587e-06
종아리,27.015813918774004,5.842583882044679e-06
빨다,26.881107165463167,6.23510085654214e-06
씻다,26.825585624696366,6.404438530508305e-06
부다,26.787036256022443,6.5247025215909975e-06
버리다,26.470700713353263,7.600590535746521e-06
멍청하다,26.36417355908045,8.001355291612281e-06
쌀,26.185352585203322,8.722029615450377e-06
뼈,26.00749278081208,9.503017154029066e-06
쫓아오다,25.59047608343442,1.1618506433341992e-05
경찰,25.30523064518783,1.3329946677165333e-05
이유,25.266433047599076,1.3581373242413817e-05
마구,24.930295320128373,1.596742027964843e-05
들어주다,24.588568666391822,1.8821733014689703e-05
화낼,24.580649967591363,1.8893581186631665e-05
그때,24.37231773307007,2.0885263548749028e-05
지지,24.266406608536023,2.1976683336726055e-05
생리,24.266406608536023,2.1976683336726055e-05
차단,24.266406608536023,2.1976683336726055e-05
식은땀,24.24044971051885,2.2252732990323538e-05
지난주,24.21428353660329,2.253450666367826e-05
사귀다,24.196023011718818,2.2733251737177965e-05
해달라다,24.191790782817026,2.2779563590451783e-05
놀리다,24.187350824282927,2.2828249645207957e-05
닿다,24.101939669048217,2.378527223376357e-05
용돈,24.054229973449647,2.4337155745830398e-05
보라,23.945803526241065,2.5639309611597614e-05
새엄마,23.771944733391024,2.7873746241540718e-05
차다,23.734345663948368,2.8381933328959557e-05
지기,23.589786875429112,3.0423271080763038e-05
기사,23.589786875429112,3.0423271080763038e-05
금,23.50668492476904,3.166233739288753e-05
써다,23.397671669607615,3.3364316536171895e-05
대고,23.266656120486772,3.553085424804705e-05
아래,23.26588468577999,3.554401759118343e-05
싸우다,23.228115673350768,3.619446635296901e-05
문자,23.121417294201702,3.8096796675909375e-05
벌리다,22.99661701848742,4.044863935225071e-05
나무,22.914672719245022,4.207099582349149e-05
따라오다,22.897731414894547,4.241440829032775e-05
집,22.743212355288257,4.56784091193019e-05
회초리,22.742432224555866,4.569550763936585e-05
부위,22.723045140241496,4.612247876657926e-05
심하다,22.611048611644534,4.866800182278515e-05
차별,22.566999270657526,4.9707112896248424e-05
채,22.49795738808889,5.138044166730123e-05
올리다,22.368450363509567,5.467206152232619e-05
만나다,22.353339773005242,5.506955532616693e-05
세탁기,22.273257651750832,5.722473074714397e-05
짜증,22.09605200005298,6.229704720587822e-05
막말,22.075342676021922,6.29183239059617e-05
다니다,22.03840854770551,6.404170169336192e-05
별로,21.99287337494919,6.545422472365161e-05
