word,chi2,p_value
지고,352.855719168041,3.59185155563491e-76
빨래,189.8995648360683,6.416595426199524e-41
아저씨,159.06554040671813,2.916015839164679e-34
뽀뽀,156.39852593703057,1.0972325532294519e-33
가슴,141.90913167859568,1.4648645966123189e-30
사진,141.08755977321536,2.2027042986518332e-30
성기,126.51780077809589,3.0438089010732577e-27
냄새,122.82338904880223,1.9024544479112315e-26
병원,82.17423304350274,1.0485561631853942e-17
팬티,82.13280036144212,1.0702414056287942e-17
처음,77.32123865955873,1.152145857980986e-16
만난,76.03999581214062,2.1686455946798755e-16
신발,75.16222739696929,3.34454116717102e-16
바지,70.69886159076543,3.024134450213699e-15
상처,68.75199262767816,7.89699106438806e-15
피멍,65.95720073343277,3.1303139668463325e-14
주먹,64.63878578603317,5.992693424529615e-14
속옷,62.99719633104991,1.3448382618266255e-13
연락,59.3851572255486,7.954132006263347e-13
대학생,59.30521911473244,8.273095332956969e-13
채팅,57.04871810472639,2.509072490582373e-12
관심,56.153877892094584,3.895000802399886e-12
다리,54.73538111405459,7.81924390778296e-12
팔이,51.54181911323238,3.7501584687950997e-11
말로,51.368530195007985,4.082953386185435e-11
잔소리,48.333869927529854,1.8080942885093116e-10
머리,48.1162099998981,2.0116089935959468e-10
엉덩이,47.82194871992937,2.3236026750548665e-10
키스,47.44417529178594,2.796019960066076e-10
손가락,46.42694673228703,4.6016231292612763e-10
오빠,46.03575919120313,5.57305969676932e-10
강제,44.813307986426665,1.0137788578094428e-09
성적,44.471590067931224,1.198268249981091e-09
치료,43.97385446533017,1.5286061062941647e-09
신경,43.2448942970492,2.1833002326975494e-09
무조건,43.027956417835505,2.4275952904047098e-09
화난,42.78272984417045,2.7367782799014157e-09
아무,42.084863953271096,3.8491557277824344e-09
부분,41.70510468464697,4.633921291074887e-09
관계,41.291510791924075,5.671431092885464e-09
종일,40.53223249869485,8.217158027374635e-09
고추,39.53681274315497,1.335753488557705e-08
수치,38.39149120379799,2.3353463403414118e-08
변태,38.15318379121427,2.623086781036808e-08
온몸,36.351658987555304,6.309991339887313e-08
비교,35.84386005533129,8.079747893902821e-08
나가요,34.75021725718887,1.3756343811293106e-07
소리,33.92447694980591,2.0552684568788266e-07
달라,33.64804641093486,2.3507957012558273e-07
음식,33.47560348771716,2.5562649906034324e-07
노래방,33.101183298531325,3.066215848860617e-07
소름,32.765971139944604,3.608330002877389e-07
손바닥,32.42034633826234,4.2676106342181e-07
깁스,32.283845072124315,4.5599643588420196e-07
풀이,31.653298653555844,6.192206598469863e-07
넣기,31.629450194523972,6.264261463628901e-07
지게,31.629450194523972,6.264261463628901e-07
인스타,31.629450194523972,6.264261463628901e-07
메시지,31.629450194523972,6.264261463628901e-07
성폭행,31.629450194523972,6.264261463628901e-07
저녁,31.618023883319808,6.299080441272026e-07
이번,31.5955030836206,6.368273821656294e-07
축구,31.349988395186625,7.173633745858809e-07
학원,30.801588044366234,9.358717052757978e-07
영상통화,30.68480504504904,9.903748437864898e-07
나이,30.50168838551275,1.082282818783625e-06
막대기,30.49687201859662,1.0848117672312144e-06
할아버지,30.3346124919529,1.1735449598070826e-06
얼굴,29.79155727626273,1.5266452486869932e-06
