word,chi2,p_value
만졌어요,384.0596488040644,6.277297605362028e-83
만지고,374.34689523277666,7.967778392384762e-81
때려요,310.09906512377955,6.485264102808801e-67
때렸어요,298.9229828621733,1.701627018263924e-64
때려서,192.1309146947243,2.1148700172057685e-41
아저씨가,189.3195813156071,8.562274745524055e-41
때리고,184.89149059124867,7.745538477349159e-40
때릴,174.5292009436801,1.3390814596484524e-37
멍이,168.37921914233962,2.8481188458659286e-36
손으로,157.43328956618075,6.561704409170068e-34
이상한,148.79985102546183,4.782489075773917e-32
맞았어요,144.05080571955148,5.057629078023505e-31
몸을,131.67544054337716,2.3550236926614384e-28
맞아서,128.74405860131674,1.0086056845675294e-27
때리는,128.27247467578388,1.2744999421988964e-27
없어서,117.38678387613524,2.8195964410003563e-25
발로,111.12795332653519,6.27451103267134e-24
만져서,110.92623640217838,6.934171261890922e-24
만지는,105.41528883120455,1.0636910390734982e-22
넣었어요,103.51192199968972,2.7305077044339325e-22
성기를,100.14571623433127,1.4459848442458096e-21
넣어서,99.67880438898838,1.8220374958030875e-21
알게,96.72811619775725,7.85045956016386e-21
돈이,94.89900831419229,1.9409718070898984e-20
아저씨,94.01920920497797,2.9997437638832955e-20
빨래를,92.04242526293945,7.976625723024877e-20
신고,89.19698684652903,3.258555640316734e-19
만진,86.05230811588306,1.5426298794481798e-18
먹을,84.32246517348382,3.62729442365827e-18
만난,83.93289831205891,4.3973773360480556e-18
찍었어요,83.92001368714874,4.425466166587086e-18
만지려고,83.45476352860939,5.569387963373551e-18
팬티,83.45476352860939,5.569387963373551e-18
찍어서,83.42379550998203,5.655270261522728e-18
사진을,83.3953895730059,5.735210945130018e-18
사진,81.79259612812606,1.2661234981872688e-17
아무도,81.3867315329934,1.5472261849061457e-17
밥을,81.32045900757608,1.5987185197324632e-17
때려서요,80.7364412277065,2.1333495391223763e-17
벗기고,79.79664638351619,3.3935519194049226e-17
보여달라고,79.28202535217893,4.375544912136643e-17
들었어요,79.26916217260968,4.403428741681168e-17
싫다고,77.11833665026961,1.2735345562639945e-16
가슴,76.94077193141331,1.390209916151004e-16
가슴이랑,75.78979632587699,2.4536984541720014e-16
아프게,75.52731853046988,2.7930798255738654e-16
벗고,73.59781454821812,7.237611238754056e-16
밑에,72.36941841758343,1.3267204853172685e-15
냄새난다고,71.25297739215243,2.3010486982397922e-15
맞은,71.20862935090602,2.3519295827832638e-15
아저씨요,67.80494165091189,1.2594582055516809e-14
만져요,67.51016885865914,1.4563762307838697e-14
오빠가,67.10785323709038,1.775719379982758e-14
만졌던,66.76381082288752,2.103768870833987e-14
때릴까,65.79519649667778,3.390378436893523e-14
넣고,65.62437552232117,3.688021319582576e-14
멍들고,64.52379364111931,6.341866438059123e-14
주먹으로,64.30193201320797,7.074048030364176e-14
맞는,63.76208566321574,9.228222684539002e-14
말로,63.314057653855876,1.1505910525455226e-13
모르는,62.82354726496778,1.464860581165348e-13
옷을,60.06004382093735,5.707140672253454e-13
그랬어요,59.37438016714398,7.996406373897291e-13
소중한,59.18824368648811,8.763023536601356e-13
병원에,58.12753176649643,1.4763365296101142e-12
맞을,58.08281687357156,1.509153622601727e-12
머리랑,57.8472021158785,1.6945050782054535e-12
처음이었어요,57.71870129202168,1.8050094330079107e-12
가슴을,57.562178613157954,1.9493855731489963e-12
바빠서,57.245705964703674,2.2775159960519666e-12
사진이,57.02899368561367,2.533516430288355e-12
아빠한테,56.56744441374633,3.1786475936771277e-12
없어서요,55.883670512407335,4.448058151372128e-12
찍은,55.787334771097115,4.663667627835548e-12
뺨을,55.5942855153952,5.127676913584023e-12
다쳤어요,54.18493657915124,1.024646275091286e-11
아저씨랑,53.39004515991953,1.513862607073281e-11
생각날,53.240173321079475,1.6294536394886522e-11
만지라고,52.75272052813714,2.0699752904080495e-11
만질,51.44887001602543,3.9251450647927114e-11
때리면,50.15967590152607,7.387461323072131e-11
입고,49.27261753463735,1.1412746082433236e-10
아저씨가요,48.61620551131674,1.574447619723071e-10
바지,48.61620551131674,1.574447619723071e-10
처음이에요,48.10322195256658,2.0244523628461902e-10
냄새나는,47.75079044650637,2.4060413711767795e-10
강제로,47.01046071813722,3.457844974070402e-10
맞고,46.90223466956001,3.646079108739985e-10
배가,46.5104050380497,4.417357150375912e-10
멍들었어요,46.5095274275872,4.4192559276674125e-10
배를,46.20737860759389,5.123916854301763e-10
신발을,46.054975932691335,5.520872994007143e-10
학교도,46.02844882952852,5.593041523683335e-10
무서워요,45.49808526109607,7.251065044387447e-10
속옷,44.48526328828251,1.1902793173438013e-09
피멍이,44.45788559223559,1.2063291963252841e-09
입어요,44.156917381085215,1.3976798071723872e-09
상처가,43.80489702457202,1.660290231561628e-09
머리를,43.62163880828663,1.8159618804798126e-09
보내달라고,43.541168382908054,1.888847752851015e-09
성적,42.953021647363926,2.518176427081001e-09
때리는데,42.67333700221482,2.887103699894099e-09
번도,42.19531815738891,3.6469059348769486e-09
아까,42.109557087048806,3.802989706833414e-09
만져달라고,41.727381764304695,4.5837614749085316e-09
때리거나,41.15202343436966,6.071282763136619e-09
맞을까,41.0886189166429,6.262229182699011e-09
화내고,41.0453527538002,6.395959613397559e-09
멍만,40.98751820969264,6.579184696067228e-09
욕하고,40.28923071355917,9.252163710589642e-09
화를,40.0918044855006,1.0188181572232849e-08
다리를,40.02938836960978,1.0503343870302382e-08
무조건,39.94874540462812,1.0925001123473965e-08
화난,39.87404871569072,1.1330634879231321e-08
없으니까,39.84736931024673,1.1479132260308358e-08
보낸,39.798885280365425,1.1753987697317146e-08
저녁을,39.72615697353406,1.2178657571051712e-08
먹어서,39.458227976537096,1.3879669257439603e-08
찼어요,38.72138422549551,1.9883108126382803e-08
뒤에서,38.65736076775549,2.0513734478763148e-08
연락이,38.44039571576834,2.2803151553010193e-08
했어요,38.14662555039235,2.6314871390759032e-08
먹어요,38.01284325511747,2.808833817362578e-08
할아버지,37.98741159186066,2.8438732689886767e-08
뽀뽀하고,37.55464358787422,3.511712147391667e-08
변태,37.55464358787422,3.511712147391667e-08
만나자고,37.55464358787422,3.511712147391667e-08
종일,37.42015349476914,3.749579723954671e-08
먹으라고,37.35959699186417,3.8618734008590355e-08
돈도,37.27994402078808,4.014708630051066e-08
신경도,37.119736158637345,4.340644057795023e-08
웃는,36.80176873931679,5.067870869134478e-08
무섭고,36.546355052258754,5.739208753930178e-08
소름,36.45992139521664,5.985945722112838e-08
아빠요,36.29947045088587,6.472399128054905e-08
만지기만,36.246176634975626,6.642554686854116e-08
소리,36.18278367619442,6.850780674007237e-08
움직이게,35.89521697806361,7.880262139303227e-08
떠올라요,35.69975305712309,8.666838449808183e-08
맞았을,35.59467579063428,9.12160077501468e-08
인터넷에,35.5008607055307,9.54771561514976e-08
관심이,35.46500950797039,9.71575362312549e-08
더러운,35.17056363607261,1.1212409619906891e-07
관심,35.16950450064504,1.1218188878111252e-07
나가요,35.12208017346282,1.1480034709061812e-07
배고파서,34.962399216697406,1.2407381387773444e-07
빨래,34.68145272011304,1.4224198249082973e-07
손가락을,34.132895957921306,1.85724374846692e-07
가슴도,33.765694893695546,2.2201604170278648e-07
들어와요,33.65902004117107,2.3382929858657393e-07
찍고,33.62020522588514,2.382816600692554e-07
애들이,33.55005328650907,2.4654443688638867e-07
벗으라고,33.38190541144376,2.6753278600802157e-07
만지게,33.38190541144376,2.6753278600802157e-07
넣기도,33.38190541144376,2.6753278600802157e-07
아저씨예요,33.38190541144376,2.6753278600802157e-07
뽀뽀했어요,33.38190541144376,2.6753278600802157e-07
배고픈데,33.34004093877245,2.7302995657221883e-07
갔어요,33.338365412223844,2.7325229934335806e-07
병원,33.19565731198841,2.9286838540060086e-07
입에,32.98536480870403,3.243647322787295e-07
알아서,32.9811419014119,3.250306889447903e-07
들고,32.85285649788099,3.4592517668727814e-07
때리거든요,32.68946722408076,3.744895978810442e-07
당했던,32.459847085319275,4.1865545601709535e-07
엄마요,32.11540785181155,4.948413126439246e-07
싫었어요,32.00358094386334,5.224379997245941e-07
카페,31.960436786231465,5.334911946860753e-07
돌봐주는,31.90784548764545,5.472808260675926e-07
입어야,31.813460331356946,5.729271992721301e-07
보내라고,31.692146021474574,6.076601634819401e-07
부분을,31.692146021474574,6.076601634819401e-07
굶어요,31.661999299097253,6.166125248790853e-07
때렸거든요,31.4235702882473,6.9221414003948e-07
듣는다고,31.26255638559114,7.484345633533112e-07
어떤,31.05412331766579,8.280321709346854e-07
친구들이,30.966804631750712,8.638390878214591e-07
배고파요,30.9248089239048,8.816066060655993e-07
밥도,30.861047238096635,9.092825522713734e-07
화나면,30.735597996409616,9.662907551414988e-07
공부하라고,30.6704361784336,9.972960790618377e-07
팔이랑,30.664491646610266,1.000173554513679e-06
엉덩이를,30.3022409881062,1.1920959876881672e-06
있었던,30.23579066135701,1.2310984205777293e-06
없고,30.177003145691955,1.266663474457633e-06
신발이,30.16877237845732,1.271724048473822e-06
짓을,30.106540000372817,1.3106454659085553e-06
때리니까,29.84375479268075,1.4885398595366058e-06
사진도,29.723257927450803,1.5779792216851568e-06
팔을,29.422180297284346,1.825596891100162e-06
아빠,29.392863957312745,1.851687869030336e-06
마음에,29.27864124066378,1.9569418082476503e-06
만져서요,29.209167235013286,2.0238589339331167e-06
도망쳤어요,29.209167235013286,2.0238589339331167e-06
대학생,29.209167235013286,2.0238589339331167e-06
앱에서,29.209167235013286,2.0238589339331167e-06
지르고,29.18988092538875,2.042837026533838e-06
작아서,29.157928105292854,2.074670788318094e-06
있었는데,29.142327440856455,2.0903926726770233e-06
다닌,29.074125812556623,2.160531928544489e-06
